127.0.0.1 - - [18/Oct/2017:14:45:21 +0800] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [18/Oct/2017:14:45:23 +0800] "GET /spittr/ HTTP/1.1" 200 558
127.0.0.1 - - [18/Oct/2017:14:45:23 +0800] "GET /spittr/resources/style.css HTTP/1.1" 200 653
127.0.0.1 - - [18/Oct/2017:14:45:23 +0800] "GET /spittr/resources/images/spitter_logo_50.png HTTP/1.1" 200 13567
127.0.0.1 - - [18/Oct/2017:14:45:23 +0800] "GET /spittr/resources/images/spitter_background.gif HTTP/1.1" 200 8708
127.0.0.1 - - [18/Oct/2017:14:45:33 +0800] "GET /spittr/ HTTP/1.1" 200 734
127.0.0.1 - - [18/Oct/2017:14:45:33 +0800] "GET /spittr/resources;jsessionid=2F487346011803A50AD37BD7F6E60E8D/images/spitter_logo_50.png HTTP/1.1" 200 13567
127.0.0.1 - - [18/Oct/2017:14:45:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [18/Oct/2017:14:58:11 +0800] "GET /spittr/ HTTP/1.1" 200 558
127.0.0.1 - - [18/Oct/2017:14:58:11 +0800] "GET /spittr/resources/style.css HTTP/1.1" 200 653
127.0.0.1 - - [18/Oct/2017:14:58:11 +0800] "GET /spittr/resources/images/spitter_logo_50.png HTTP/1.1" 200 13567
127.0.0.1 - - [18/Oct/2017:14:58:11 +0800] "GET /spittr/resources/images/spitter_background.gif HTTP/1.1" 200 8708
127.0.0.1 - - [18/Oct/2017:14:58:14 +0800] "GET /spittr/ HTTP/1.1" 200 558
127.0.0.1 - - [18/Oct/2017:14:58:15 +0800] "GET /spittr/ HTTP/1.1" 200 558
127.0.0.1 - - [18/Oct/2017:14:58:23 +0800] "GET /spittr/ HTTP/1.1" 200 558
127.0.0.1 - - [18/Oct/2017:14:58:23 +0800] "GET /spittr/resources/style.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Oct/2017:14:58:23 +0800] "GET /spittr/resources/images/spitter_logo_50.png HTTP/1.1" 304 -
127.0.0.1 - - [18/Oct/2017:14:58:23 +0800] "GET /spittr/ HTTP/1.1" 200 558
127.0.0.1 - - [18/Oct/2017:14:58:23 +0800] "GET /spittr/resources/style.css HTTP/1.1" 200 653
127.0.0.1 - - [18/Oct/2017:14:58:23 +0800] "GET /spittr/resources/images/spitter_logo_50.png HTTP/1.1" 200 13567
127.0.0.1 - - [18/Oct/2017:14:58:23 +0800] "GET /spittr/resources/images/spitter_background.gif HTTP/1.1" 200 8708
127.0.0.1 - - [18/Oct/2017:15:18:22 +0800] "GET /spittr/spitter/register HTTP/1.1" 200 1138
